artist,song_name,genres,album_name,song_id,album_id,genres_list,singular_genre,Top Emotions
Gang Of Four,What We All Want,"punk, uk post-punk, funk rock, dance rock, post-punk, art punk, alternative rock",Solid Gold,4DWtHczGxxuNdf0yM1enbk,6dhsLGebvHR7CCf5hKQUYG,"['punk', 'uk post-punk', 'funk rock', 'dance rock', 'post-punk', 'art punk', 'alternative rock']",Rock,Emotions unable to be determined
Spawn of Possession,Church of Deviance,"brutal death metal, technical death metal, deathgrind, swedish death metal, swedish metal, death metal",Cabinet,0bSSoSZHpCOJVdjTsndcFY,3JFKM5NfQzCyZkxbvHoSRy,"['brutal death metal', 'technical death metal', 'deathgrind', 'swedish death metal', 'swedish metal', 'death metal']",Rock,Emotions unable to be determined
SETI,.beacon01,space ambient,Pharos,17zApI6hGJIHshy8C3BCJM,0NZvfAago0lUAff6SZKxq6,['space ambient'],Electronic,Emotions unable to be determined
L D R U,To Be Free,australian dance,Sizzlar,6msHcsFpMkLp8jjStTCntl,4B1Ni6YJAFMHZsFcib3nlE,['australian dance'],Electronic,Emotions unable to be determined
Mike Krol,Power Chords,indie garage rock,Power Chords,654hIbxzJF6WLPHhBADvRY,6Mte1an46hBq3jd6OAUSKP,['indie garage rock'],Rock,Emotions unable to be determined
Yanni,Nostalgia - Live,new age,Ultimate Yanni,2ettInVYfBTF2N19ApHdtm,0RBSLWT0Fmm1dVYLXV2zG9,['new age'],Electronic,Emotions unable to be determined
Anathema,Dreaming: The Romance - Studio,"gothic metal, progressive doom, progressive metal",Serenades,5dCWA9gdugifOJD75ihATO,61suTFccU49nuqbrADrQ1c,"['gothic metal', 'progressive doom', 'progressive metal']",Rock,Emotions unable to be determined
Andrew Bird,Lusitania,"melancholia, stomp and holler, baroque pop, chicago indie, indie rock, chamber pop",Break It Yourself,6gF6LkEa3m1igJU5h8esHr,4t062fa39U8W9MBz1sdJjQ,"['melancholia', 'stomp and holler', 'baroque pop', 'chicago indie', 'indie rock', 'chamber pop']",Pop,"Distress, Amusement"
2 LIVE CREW,We Want Some P--sy II,"old school hip hop, golden age hip hop, miami hip hop, miami bass",Back at Your Ass for the Nine-4,6TCwftBQopg1xooXGSjwAD,1nGPPRwnvFuuL2UdPngx9S,"['old school hip hop', 'golden age hip hop', 'miami hip hop', 'miami bass']",Hip-Hop,"Excitement, Distress, Anger"
Pet Shop Boys,West End Girls - 2018 Remaster,"new romantic, permanent wave, new wave pop, dance rock, new wave, synthpop",Please,2Di0qFNb7ATroCGB3q0Ka7,47fRf3JwriMUPPzFjdvNS6,"['new romantic', 'permanent wave', 'new wave pop', 'dance rock', 'new wave', 'synthpop']",Pop,Emotions unable to be determined
Tom Harrell,The Fast,"jazz trumpet, italian jazz",Infinity,12WEfcy3JPwSVYv7Zrm2i6,1u1MSp3R5PMVCk6tYf0ekp,"['jazz trumpet', 'italian jazz']",Jazz,Emotions unable to be determined
Darkthrone,In the Shadow of the Horns - Studio,"norwegian death metal, blackened crust, black 'n' roll, norwegian black metal, norwegian metal, black metal, metal",A Blaze in the Northern Sky,1qY7zhfiiMVzb38kJ2806t,4ywDt046dDB2OtWLqKwvMF,"['norwegian death metal', 'blackened crust', ""black 'n' roll"", 'norwegian black metal', 'norwegian metal', 'black metal', 'metal']",Rock,Emotions unable to be determined
Massive Ego,"Digital Heroin, Pt. 1",futurepop,Church for the Malfunctioned,2IjY7nupaFabcJ7rAoNafo,0l1XA06Df6zApF36gHqYXg,['futurepop'],Pop,Emotions unable to be determined
MØ,New Moon,"danish pop, electropop, pop dance, dance pop",Motordrome,2WQUdOtqdAZm3qf5esD6x6,5PYtz6P7n4V5ryGlRIambH,"['danish pop', 'electropop', 'pop dance', 'dance pop']",Pop,Emotions unable to be determined
The Divine Comedy,In Pursuit of Happiness,"baroque pop, britpop, melancholia, chamber pop",A Short Album About Love,1ROkGn4GeGlO7RobayXGrj,4QSAiYWpavbk2vAYrxIKuO,"['baroque pop', 'britpop', 'melancholia', 'chamber pop']",Pop,"Excitement, Amusement, Determination"
Biohazard,Vengeance Is Mine,"groove metal, funk metal, hardcore, rap rock, nyhc, nu metal, rap metal, alternative metal",Reborn in Defiance,3pnjqrQOTUNyLLWa4ko8jO,7eDTeu9IkGATAheIIEicZw,"['groove metal', 'funk metal', 'hardcore', 'rap rock', 'nyhc', 'nu metal', 'rap metal', 'alternative metal']",Rock,Emotions unable to be determined
The Smile,Wall Of Eyes,uk post-punk revival,Wall of Eyes,3tP2P4KybC9wYVI8Pe41GT,6PdPOv5ybKZ9ZuGMk5iGZd,['uk post-punk revival'],Rock,Emotions unable to be determined
Songs: Ohia,Captain Badass,"slowcore, alternative country, lo-fi, indie rock, chamber pop",Axxess & Ace,2n2J1dlbOB6qIEEStdwrwr,6uLokj5GmuVeUWWJEzabT9,"['slowcore', 'alternative country', 'lo-fi', 'indie rock', 'chamber pop']",Country,Emotions unable to be determined
Lupe Fiasco,Jump (feat. Gizzle),"conscious hip hop, political hip hop, southern hip hop, chicago rap, rap, hip hop, pop rap",Drogas Light,51gbF0SxTmxgAguiWWUXPu,2utMSPHiSIHEg2vb9awgDi,"['conscious hip hop', 'political hip hop', 'southern hip hop', 'chicago rap', 'rap', 'hip hop', 'pop rap']",Hip-Hop,"Excitement, Amusement, Distress"
Red,Start Again,"christian rock, alternative metal, christian alternative rock, post-grunge",Innocence & Instinct,6zVmYJACUF3yWLwpNwiuRN,4sruD6fFajEm7CWetpxQd9,"['christian rock', 'alternative metal', 'christian alternative rock', 'post-grunge']",Rock,Anger
Ray J,Everything You Want,"pop rap, urban contemporary",Everything You Want,7t2v02FIGUludGUEugiRrS,4Ds86YhZPWGp2drsKaJ6NM,"['pop rap', 'urban contemporary']",Pop,Emotions unable to be determined
Lou Reed,The Gun,"glam rock, singer-songwriter, permanent wave, rock, classic rock",The Blue Mask,2rOIwGrq4i6D4Lh3CsmdN0,1CkMvvVcMdvMAYIz4Zhzax,"['glam rock', 'singer-songwriter', 'permanent wave', 'rock', 'classic rock']",Rock,"Calmness, Sadness, Tiredness"
Stratovarius,Eagleheart,"finnish power metal, speed metal, neo classical metal, symphonic metal, metal, progressive metal, power metal",Elements Pt. 1,4yWMDLVukjc1VpzhSUAIBP,4LDYqViNkhl1eMeulzC8XX,"['finnish power metal', 'speed metal', 'neo classical metal', 'symphonic metal', 'metal', 'progressive metal', 'power metal']",Rock,Emotions unable to be determined
Natalie Prass,Why Don't You Believe In Me,"indie pop, rva indie",Natalie Prass,5CwBDpKilICjeViJbUiYpH,21zH1ohnZ6T0g95ZnUTwBM,"['indie pop', 'rva indie']",Pop,"Fear, Excitement, Anxiety"
Menomena,Rotten Hell,indie rock,Friend and Foe,0oyGRQHBgY9J7F1IfQjar7,1zYJ7E81GPq8eK3S8KpO1q,['indie rock'],Rock,Emotions unable to be determined
Lou Reed,Dirty Blvd.,"glam rock, singer-songwriter, permanent wave, rock, classic rock",New York,4TDLfAmx45EpSiQYG6hCzT,7xGqf9DddW89cg7m6zX88t,"['glam rock', 'singer-songwriter', 'permanent wave', 'rock', 'classic rock']",Rock,"Excitement, Anger, Disgust"
Charly Bliss,Westermarck,"indie punk, modern power pop, bubblegrunge",Guppy,3pUBtMnO3nlGQB5j73V5e9,4dIGqqoTYlCaNkDb9XlVE5,"['indie punk', 'modern power pop', 'bubblegrunge']",Rock,Emotions unable to be determined
The Notorious B.I.G.,Ten Crack Commandments - 2007 Remaster,"gangster rap, rap, east coast hip hop, hardcore hip hop, hip hop",Greatest Hits,4xtq6uY0ofikksLWN37pT4,5XqEf16OrHdmMoNS1b6WDg,"['gangster rap', 'rap', 'east coast hip hop', 'hardcore hip hop', 'hip hop']",Hip-Hop,"Anger, Determination, Excitement"
Ania Dąbrowska,Tego chcialam,polish pop,Samotność po zmierzchu,070LzGDXT2ImxuHA5GP2eE,1GXlemdMlb5O9DsYUqxh5X,['polish pop'],Pop,Emotions unable to be determined
Avatar,A Statue of the King,"swedish melodeath, gothenburg metal",Avatar Country,35LGzHZE1l3R6DMasdJXZY,3XPUjUYTfSxCWk9mp7XJGS,"['swedish melodeath', 'gothenburg metal']",Rock,Fear
Prurient,Naturecum,"industrial noise, power electronics, new isolationism, noise, dub metal, drone",Rainbow Mirror,4Pl209XEoKKLLpqiHnZxpO,5S2Zs1z2Ior1rk0t6g2xq5,"['industrial noise', 'power electronics', 'new isolationism', 'noise', 'dub metal', 'drone']",Electronic,Emotions unable to be determined
Dismemberment Plan,The Ice Of Boston,"math rock, emo, post-hardcore, lo-fi",Dismember,2HgZBNeDPWBcIEFtqnYPgR,5A1vwVBlzvP7irrr10pYwd,"['math rock', 'emo', 'post-hardcore', 'lo-fi']",Rock,Emotions unable to be determined
Jidenna,Tribe,"ghanaian hip hop, viral trap",85 to Africa,3genAqdJAms2ifNFdbC4EO,238eVufzRziHuYLuBVZh1u,"['ghanaian hip hop', 'viral trap']",Hip-Hop,Emotions unable to be determined
Hawkwind,Orgone Accumulator - Live,"space rock, canterbury scene, proto-metal, psychedelic rock, hard rock, protopunk",Undisclosed Files Addendum,15nGVwnCl4MsJDraZBwFNs,6JZW57XlvOvPLRhZ5H9fdz,"['space rock', 'canterbury scene', 'proto-metal', 'psychedelic rock', 'hard rock', 'protopunk']",Rock,"Determination, Amusement"
Childish Gambino,My Shine,"hip hop, rap, atl hip hop",EP,146EkdID2XSngct4gG8NQl,6L4gtDcKB0RBRpx2DhHrsQ,"['hip hop', 'rap', 'atl hip hop']",Hip-Hop,Amusement
Total,Kissin' You,"new jack swing, r&b, contemporary r&b, hip pop",Total,1e5DTpM1WeggytDXbphivX,4uLoT81NWVFx09mkfnGCHb,"['new jack swing', 'r&b', 'contemporary r&b', 'hip pop']",R&B,Emotions unable to be determined
Steely Dan,Jack of Speed,"folk rock, rock, soft rock, yacht rock, album rock, country rock, mellow gold, classic rock",Two Against Nature,1xN6Ib6AOP6XLL4dzgGsh7,2MJc2N3eFVT0ZabBN4zc32,"['folk rock', 'rock', 'soft rock', 'yacht rock', 'album rock', 'country rock', 'mellow gold', 'classic rock']",Rock,"Distress, Amusement"
Porcupine Tree,Stars Die,"progressive rock, progressive metal",The Sky Moves Sideways,2jBasA7WwZ8gvQSbPpB0hK,7fTQERHHclQipzWmKfVly7,"['progressive rock', 'progressive metal']",Rock,Emotions unable to be determined
Menace Beach,Maybe We'll Drown,leeds indie,Lemon Memory,307iakPafdDTA7vnKzYh0s,4giWvFHaSr3BJID584bHZV,['leeds indie'],Alternative,Emotions unable to be determined
The Subways,Rock & Roll Queen - Live at Open Air Gampel,"dance-punk, garage rock revival, garage rock",Good Times,2HPGaOmmBbBw356jnMdoEQ,4dhLMKaLq7HjqaatuLTTHt,"['dance-punk', 'garage rock revival', 'garage rock']",Rock,Emotions unable to be determined
The Slackers,So This Is The Night,"ska, ska punk, ska revival",Wasted Days,5tmO49W7iaINonRpZu6cg3,6Gsk2nUl219al8pzo8TNWB,"['ska', 'ska punk', 'ska revival']",Reggae,"Anger, Distress, Fear"
Hanoi Rocks,Tragedy - Live at the Marquee,"glam rock, glam metal, finnish hard rock, sleaze rock, glam punk",All Those Wasted Years,0kc5cI38JocIgqUgEIfdFT,7EPJd6B9Jmx50Ue4z7ABGd,"['glam rock', 'glam metal', 'finnish hard rock', 'sleaze rock', 'glam punk']",Rock,Emotions unable to be determined
BoA,キミのとなりで,k-pop,Outgrow,25H5OxyKYqfDXGEZrzYxco,0PQNmH3X9nZJRoihzP7uZz,['k-pop'],Pop,Emotions unable to be determined
Van Halen,Everybody Wants Some!! - 2015 Remaster,"hard rock, rock, album rock, classic rock",Women and Children First,5TnzOUFWoZHUEtOWlxrIlY,7fRy246Xzz3gez6stjTgKk,"['hard rock', 'rock', 'album rock', 'classic rock']",Rock,Emotions unable to be determined
Flo Morrissey,Grease,"british singer-songwriter, rva indie","Gentlewoman, Ruby Man",0fJleeHFEPJaPQLQYw5DT5,6CNgs4YV5rxsOjADfpUCg3,"['british singer-songwriter', 'rva indie']",Alternative,Emotions unable to be determined
Kittie,Brackish,"alternative metal, industrial metal, nu metal, canadian metal",Spit,5znZ4aN1j49w2Oel8tdmgG,5PyNZ5DIu4UNWYfIgJwqXH,"['alternative metal', 'industrial metal', 'nu metal', 'canadian metal']",Rock,"Determination, Sadness"
The System,Don't Disturb This Groove,"post-disco, new jack swing, funk, quiet storm, urban contemporary",Don't Disturb This Groove,6GAn3ar2CL8wUg0MbICZvp,0Kwk6arYrNHMXkC3wR3gGJ,"['post-disco', 'new jack swing', 'funk', 'quiet storm', 'urban contemporary']",Pop,Emotions unable to be determined
Monica Ogah,Over Again,gospel amapiano,Different,26WUwmYDtUSkZaLhexsi7z,3D5CfouqbyKG6cVbX9K1aT,['gospel amapiano'],World,"Excitement, Fear"
Bruce Springsteen,"I Wish I Were Blind - Live at Warner Hollywood Studios, Los Angeles, CA - September 1992","rock, singer-songwriter, permanent wave, heartland rock, mellow gold",In Concert/MTV Plugged,1AP90TZY9gjBXYovkIpgpA,4M3Qtak53VFm7WoUTvqAD6,"['rock', 'singer-songwriter', 'permanent wave', 'heartland rock', 'mellow gold']",Rock,Emotions unable to be determined
The Apples In Stereo,Look Away,"denver indie, elephant 6, lo-fi",Look Away + 4,1rY8nUTbeoyEak2E39hJd2,5IACFn4bd6upVfvIbblZzT,"['denver indie', 'elephant 6', 'lo-fi']",Alternative,Emotions unable to be determined
Junoon,Jazba-E-Junoon,"classic pakistani pop, pakistani pop",Inquilaab,0TZtGi7P3XYWJTN7kTssvE,7FmpA5VifPh7GG3koMsWt7,"['classic pakistani pop', 'pakistani pop']",Pop,Emotions unable to be determined
The Goo Goo Dolls,Out of Sight,"neo mellow, pop rock, permanent wave, post-grunge",Jed,5AY4J69n46BFhqhA1IYOy6,5d1wwgDO6V4nPYR2ve3P4L,"['neo mellow', 'pop rock', 'permanent wave', 'post-grunge']",Rock,Emotions unable to be determined
Thelma Plum,Better in Blak,"australian indie, australian indigenous music",Better in Blak,1c5iUY7Zg1SxtROg1yr5ad,0QuumkXPKBWR7wOKUfqQ34,"['australian indie', 'australian indigenous music']",Alternative,Emotions unable to be determined
Bob Dylan,I Could Have Told You,"folk rock, rock, singer-songwriter, folk, roots rock, country rock, classic rock",Triplicate,4kRh9lyQMQyg0MK1kzKAzN,5coSubIBt21W8V40Po41pY,"['folk rock', 'rock', 'singer-songwriter', 'folk', 'roots rock', 'country rock', 'classic rock']",Rock,"Excitement, Sadness, Anger"
JEONG SEWOON,Feeling (feat. PENOMECO),"k-pop, korean ost",Plus Minus Zero,0QKVP358uZPsxPNiY8oeEg,1kApFYSZTqcAbN8rKdO8jO,"['k-pop', 'korean ost']",Pop,Emotions unable to be determined
Trevor Horn,Dancing in the Dark (feat. The Sarm Orchestra and Gabrielle Aplin),classic uk pop,Reimagines the Eighties,6abUekaM1rSpYiMS9fTFoi,4PPMVFcFGJurL83gWDl8Cz,['classic uk pop'],Pop,"Calmness, Amusement, Relief"
Texas Hippie Coalition,Dirty Finger,"southern metal, groove metal",High in the Saddle,7lMDbNr8HzPpeeRMfjK5LB,0e1tx4BTovXIECVpzfGFvJ,"['southern metal', 'groove metal']",Rock,"Anger, Determination"
Adel Tawil,Ist da jemand,german pop,So schön anders,5JOWt9Yhx9JjUJpttz1Uxp,3URsiP5Gleis6EUKAiOpf2,['german pop'],Pop,Emotions unable to be determined
Homeboy Sandman,Clarity,"abstract hip hop, alternative hip hop, east coast hip hop",Veins,3UM1MzqUxqS9Lp2IursQbb,3tVi5xEEQOqIuUxfAV2j8p,"['abstract hip hop', 'alternative hip hop', 'east coast hip hop']",Hip-Hop,"Determination, Anger, Excitement"
Magnum,The Seventh Darkness,hard rock,Here Comes the Rain,11VPkhiA8ZFphKVYexiRyE,7Lb96ELvuooKphUo1bispV,['hard rock'],Rock,Emotions unable to be determined
Athlete,Wires,britpop,Tourist,4I3W4ci6lyoyY8zQ6fAdYl,3C8JJuPAtChN279eHZhkra,['britpop'],Pop,Emotions unable to be determined
Aya Nakamura,Baby,"basshall, pop urbaine, r&b francais",DNK,3xrZCGMyXIDqesVz4QwJOL,2sDLGR5LQ1pRmyCOT0alhN,"['basshall', 'pop urbaine', 'r&b francais']",Pop,Excitement
Ximena Sariñana,Cobarde,"mexican rock, cantautora mexicana, latin pop, mexican pop, latin alternative",¿Dónde Bailarán las Niñas?,4rbFRFbocQDMubY2l2qM1K,6BvR8xqcnvm7Gpmmnr7JKa,"['mexican rock', 'cantautora mexicana', 'latin pop', 'mexican pop', 'latin alternative']",Pop,"Realization, Joy, Calmness"
Everything But The Girl,I Don't Want to Talk About It,"trip hop, sophisti-pop, new wave pop",Idlewild,7cE35BjpKtOIMTqsKGL8z8,1C36Ww2wRq8wzTg7ZbsZor,"['trip hop', 'sophisti-pop', 'new wave pop']",Pop,Emotions unable to be determined
Meshuggah,Cadaverous Mastication (2001),"progressive groove metal, groove metal, nu metal, technical thrash, technical groove metal, alternative metal, djent, metal, swedish metal",Meshuggah,1kRWADmKv7GpmaAgPxB2xz,5GZZYKUMoWSEuZ78Do4htg,"['progressive groove metal', 'groove metal', 'nu metal', 'technical thrash', 'technical groove metal', 'alternative metal', 'djent', 'metal', 'swedish metal']",Rock,Emotions unable to be determined
Dido,Hurricanes,"dance pop, neo mellow, europop, lilith, pop rock",Still on My Mind,28IPtBns9UUum8tE8EJlO8,6zRAoDzxuZuai82uJm0heZ,"['dance pop', 'neo mellow', 'europop', 'lilith', 'pop rock']",Pop,Emotions unable to be determined
Handsome Furs,I'm Confused,quebec indie,Face Control,4i0xC4pMrfKNXjMJUMSKsR,0ZJfKuyu8wqLSwKqXS9uUP,['quebec indie'],Alternative,Emotions unable to be determined
Amel Larrieux,For Real,"neo soul, urban contemporary, r&b",Bravebird,0sxEHZ8WEPPTWGFXYBdB3O,4ifJLmQAJIUsAPmm6pnxJw,"['neo soul', 'urban contemporary', 'r&b']",R&B,Emotions unable to be determined
Hammock,Things of Beauty Burn,"compositional ambient, post-rock, instrumental post-rock, ambient post-rock, ambient guitar, ambient worship, space ambient",Mysterium,5R79noBnfBiMUSxZUosuSG,46Ky1123o1MoI4tTCeIEdp,"['compositional ambient', 'post-rock', 'instrumental post-rock', 'ambient post-rock', 'ambient guitar', 'ambient worship', 'space ambient']",Electronic,Emotions unable to be determined
Robert Plant,Ship of Fools - 2006 Remaster,"rock, blues rock, singer-songwriter, heartland rock, uk americana, hard rock, album rock, mellow gold, progressive rock, art rock, classic rock",Now and Zen,6X2rYNgBbEghiWyexcbldt,7MwPi2NpS2OoZ8K1h5tmXV,"['rock', 'blues rock', 'singer-songwriter', 'heartland rock', 'uk americana', 'hard rock', 'album rock', 'mellow gold', 'progressive rock', 'art rock', 'classic rock']",Rock,"Determination, Excitement"
Kirsty MacColl,Days,new wave pop,Kite,7FHiLsFvlVInNjUlcRDITR,07I5tb1qvbvgrr6KreNAEW,['new wave pop'],Pop,Emotions unable to be determined
Outsidaz,Rush Ya Clique,new jersey rap,Night Life,0dVbTfjHKT9NlnOqxRT2A8,4l0rzxnNpSQaGrDIxhDWfj,['new jersey rap'],Hip-Hop,"Anger, Excitement"
Santana,Winning,"blues rock, classic rock, mexican classic rock",Zebop!,1NT76WD8FONQqTXKZ4MIRT,6xneJ1pKj47GhKZOKv7OGD,"['blues rock', 'classic rock', 'mexican classic rock']",Rock,Emotions unable to be determined
Debbie Gibson,Lost in Your Eyes,"soft rock, freestyle, new wave pop",Electric Youth,6PMDILZiYo4YzMBbE0dGK9,5PnwSSRbLcCLpNMe2LFhOC,"['soft rock', 'freestyle', 'new wave pop']",Pop,Emotions unable to be determined
Titus Andronicus,(I Blame) Society,"new jersey indie, indie rock, lo-fi",An Obelisk,6sJA9TKBgNpQsh7twUcymd,3wGeXcYHGi2y0Ox9MvdGGS,"['new jersey indie', 'indie rock', 'lo-fi']",Alternative,Emotions unable to be determined
Sauti Sol,Melanin,"kenyan r&b, gengetone, kenyan pop, afropop",Afrikan Sauce,6P4kIjBGUzlieJBkUFobTL,4J2sMmMUFcjCExurtDQZJU,"['kenyan r&b', 'gengetone', 'kenyan pop', 'afropop']",Pop,"Fear, Excitement"
Elohim,Hallucinating,"electropop, indie poptimism, la pop",Elohim,4oCRbf77NCj4Ss8nhUp1i4,3l4vVOHQm2msGtnwb8XDgt,"['electropop', 'indie poptimism', 'la pop']",Pop,Emotions unable to be determined
Urban Dance Squad,Deeper Shade Of Soul,"funk metal, old school nederhop, funk rock, dutch rock, laboratorio",Mental Floss for the Globe,4KRMoo8vKWavy5f6dFpFmS,5rUUFXK642ZrYTSocjVIcB,"['funk metal', 'old school nederhop', 'funk rock', 'dutch rock', 'laboratorio']",Rock,"Amusement, Excitement, Love"
Lea Michele,On My Way,"post-teen pop, viral pop, hollywood",Louder,1q5CtPCZgNGPw6x7mgKJk5,109n8Ov5R95rQx38SraTRE,"['post-teen pop', 'viral pop', 'hollywood']",Pop,Emotions unable to be determined
Dionne Warwick,Age Of Miracles,"brill building pop, vocal jazz, adult standards, soft rock, soul, quiet storm, disco",Friends Can Be Lovers,60SIW918rWup5HiwxEzHtr,36sMTEhKCgFBwVFTGpynZI,"['brill building pop', 'vocal jazz', 'adult standards', 'soft rock', 'soul', 'quiet storm', 'disco']",Pop,Emotions unable to be determined
Emmylou Harris,Darkest Hour Is Just Before the Dawn - 2002 Remaster,"melancholia, singer-songwriter, folk, lilith, country rock",Roses in the Snow,2QU0LztUXPAFhjdt0SRhdr,2LSEEOLu3PSt0T30n0Vg9O,"['melancholia', 'singer-songwriter', 'folk', 'lilith', 'country rock']",Folk,Emotions unable to be determined
gnash,"i hate u, i love u (feat. olivia o'brien)","alt z, pop",We,6zYuVnHTZQbFSQ9BAhhf9S,2UqlRqWxfYnlQFEgNoot7v,"['alt z', 'pop']",Pop,"Sadness, Love, Romance"
Dinosaur Pile-Up,Back Foot,"british alternative rock, modern alternative rock, modern hard rock, leeds indie",Celebrity Mansions,6geuGKb1jKb6TV8sGE5eaC,3sWXuwJFtO7LkD4FPrJSFu,"['british alternative rock', 'modern alternative rock', 'modern hard rock', 'leeds indie']",Rock,Anger
Deicide,Conviction,"brutal death metal, technical death metal, florida death metal, black metal, metal, death metal",To Hell with God,4rhRRksZEsbn8sczVG9zzd,7y8qsMbvaEdzTKnN7O7S9z,"['brutal death metal', 'technical death metal', 'florida death metal', 'black metal', 'metal', 'death metal']",Rock,Emotions unable to be determined
Stryper,Sorry,"christian rock, christian power metal, christian metal",God Damn Evil,2U1MJPPuclGqEt5Rl594z7,4luOkLrkdSM88NPlecZT7Y,"['christian rock', 'christian power metal', 'christian metal']",Rock,Emotions unable to be determined
Joanne Shaw Taylor,I've Been Loving You Too Long,"modern blues, modern blues rock, electric blues",Reckless Heart,3BXIM1EbBAyGSmIj4GOCjS,4qg7yQHWWUw0DMlix6ZbUG,"['modern blues', 'modern blues rock', 'electric blues']",Blues,Emotions unable to be determined
